#
#   VizieR Astronomical Server vizier.cfa.harvard.edu
#    Date: 2026-04-16T12:48:33 [V7.5.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-04-16T12:48:33	  Query execution date
#INFO	request=https://vizier.cfa.harvard.edu/viz-bin/asu-tsv?-source=J/ApJS/180/54/table4	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.5.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_21800054
#Name: J/ApJS/180/54
#Title: Globular cluster candidates in ACS Virgo survey. (Jordan+, 2009)
#INFO	ivoid=ivo://cds.vizier/j/apjs/180/54	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/j/apjs/180/54	    IVOID of underlying data collection
#INFO	creator=Jordan A.	    First author or institution
#INFO	cites=bibcode:2009ApJS..180...54J	    Article or Data origin sources
#INFO	journal=ApJS	    Journal name
#INFO	original_date=2009	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/ApJS/180/54	    Dataset landing page
#INFO	citation=doi:10.26093/cds/vizier.21800054	    Dataset identifier that can be used for citation
#INFO	publication_date=2013-07-15	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	J_ApJS_180_54_table4:
#Name: J/ApJS/180/54/table4
#Title: Photometric and structural catalog of sources
#Column	VCC	(I4)	Virgo Cluster Catalog number (1)	[ucd=meta.id.parent]
#Column	RAJ2000	(F11.7)	Right Ascension in decimal degrees (J2000) (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F11.7)	Declination in decimal degrees (J2000) (2)	[ucd=pos.eq.dec;meta.main]
#Column	GDist	(F7.3)	Galactocentric distance	[ucd=pos.angDistance]
#Column	zmag	(F6.3)	Model HST/ACS F850LP band magnitude (3)	[ucd=phot.mag;em.opt.I]
#Column	zamag	(F6.3)	Average HST/ACS F850LP band correction aperture magnitude (4)	[ucd=phot.mag;em.opt.I]
#Column	gmag	(F6.3)	Model HST/ACS F475W band magnitude (3)	[ucd=phot.mag;em.opt.B]
#Column	gamag	(F6.3)	Average HST/ACS F475W band correction aperture magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	rhz	(F7.4)	Best-fit HST/ACS F850LP band half-light radius	[ucd=phys.angSize;src]
#Column	rhg	(F7.4)	Best-fit HST/ACS F475W band half-light radius	[ucd=phys.angSize;src]
#Column	pGC	(F5.2)	Probability source is a Globular Cluster (5)	[ucd=stat.fit.goodness]
#Column	E(B-V)	(F6.3)	Foreground E(B-V) assumed (6)	[ucd=phot.color.excess]
VCC	RAJ2000	DEJ2000	GDist	zmag	zamag	gmag	gamag	rhz	rhg	pGC	E(B-V)
1226	187.4429747	+08.0061008	 21.463	23.499	23.445	24.973	24.930	 0.0321	 0.0355	 0.99	 0.022
1226	187.4397698	+07.9970483	 21.518	22.289	22.235	23.664	23.615	 0.0166	 0.0215	 0.98	 0.022
1226	187.4447164	+08.0067519	 22.844	20.755	20.757	22.282	22.263	 0.0382	 0.0352	 1.00	 0.022
1226	187.4423648	+07.9944928	 22.939	23.054	23.459	24.717	24.734	 0.1277	 0.0396	 0.59	 0.022
1226	187.4440776	+08.0068944	 23.469	22.778	22.742	24.486	24.446	 0.0354	 0.0271	 1.00	 0.022
1226	187.4490244	+07.9954387	 23.481	22.181	22.236	23.931	23.967	 0.0655	 0.0620	 0.98	 0.022
1226	187.4511915	+07.9980711	 24.433	23.870	23.846	24.710	24.790	 0.0126	 0.0497	 0.99	 0.022
1226	187.4389930	+08.0043180	 24.928	23.011	23.042	24.047	24.093	 0.0439	 0.0443	 0.99	 0.022
1226	187.4444730	+08.0073758	 25.104	22.891	22.864	24.294	24.262	 0.0233	 0.0244	 1.00	 0.022
1226	187.4515193	+07.9983778	 25.173	20.398	20.503	21.237	21.308	 0.0690	 0.0647	 1.00	 0.022
1226	187.4512490	+07.9976069	 25.257	23.413	23.446	24.739	24.728	 0.0483	 0.0290	 0.99	 0.022
1226	187.4517469	+07.9988995	 25.475	22.225	22.191	23.435	23.410	 0.0271	 0.0267	 1.00	 0.022
1226	187.4465792	+08.0073274	 25.740	22.089	22.085	23.000	22.980	 0.0362	 0.0259	 1.00	 0.022
1226	187.4514156	+07.9973914	 26.092	23.439	23.475	24.066	24.178	 0.0732	 0.0624	 0.81	 0.022
1226	187.4485156	+08.0066473	 26.152	21.261	21.227	22.260	22.213	 0.0283	 0.0264	 1.00	 0.022
1226	187.4390207	+07.9958638	 26.201	22.202	22.181	23.808	23.772	 0.0299	 0.0257	 1.00	 0.022
1226	187.4381545	+08.0036269	 26.247	21.571	21.544	22.452	22.429	 0.0297	 0.0272	 1.00	 0.022
1226	187.4374813	+08.0016242	 26.330	22.255	22.178	23.641	23.594	 0.0155	 0.0278	 1.00	 0.022
1226	187.4519306	+08.0021836	 26.344	23.110	23.077	24.109	24.075	 0.0328	 0.0242	 1.00	 0.022
1226	187.4467161	+07.9933087	 26.486	22.371	22.311	23.866	23.825	 0.0370	 0.0311	 1.00	 0.022
1226	187.4401418	+07.9945344	 26.793	21.830	21.792	23.057	23.011	 0.0258	 0.0283	 1.00	 0.022
1226	187.4510831	+07.9962385	 27.090	23.033	22.961	24.385	24.409	 0.0176	 0.0174	 0.96	 0.022
1226	187.4484693	+08.0070459	 27.312	22.017	21.965	23.365	23.335	 0.0308	 0.0182	 1.00	 0.022
1226	187.4371643	+08.0018669	 27.593	22.269	22.260	23.695	23.658	 0.0334	 0.0353	 1.00	 0.022
1226	187.4503662	+08.0056920	 27.604	21.133	21.111	22.707	22.679	 0.0309	 0.0240	 1.00	 0.022
1226	187.4375580	+07.9972720	 28.055	20.823	20.769	22.371	22.328	 0.0200	 0.0292	 1.00	 0.022
1226	187.4502408	+07.9947760	 28.163	19.374	19.367	20.621	20.606	 0.0464	 0.0448	 1.00	 0.022
1226	187.4519793	+08.0036623	 28.280	21.856	21.851	22.873	22.851	 0.0454	 0.0365	 1.00	 0.022
1226	187.4478175	+07.9931480	 28.316	21.324	21.269	22.677	22.635	 0.0213	 0.0279	 1.00	 0.022
1226	187.4502274	+08.0062343	 28.631	22.986	23.058	24.761	24.774	 0.0750	 0.0689	 0.83	 0.022
1226	187.4467892	+08.0081295	 28.716	21.316	21.309	22.370	22.355	 0.0349	 0.0286	 1.00	 0.022
1226	187.4521440	+08.0036260	 28.747	23.094	23.040	23.962	23.961	 0.0339	 0.0287	 1.00	 0.022
1226	187.4519504	+08.0047293	 30.000	23.657	23.604	25.043	25.014	 0.0359	 0.0503	 0.96	 0.022
1226	187.4388581	+07.9944220	 30.115	21.951	21.921	23.596	23.551	 0.0259	 0.0304	 1.00	 0.022
1226	187.4390911	+07.9941620	 30.219	22.948	22.892	24.514	24.472	 0.0258	 0.0256	 1.00	 0.022
1226	187.4517354	+08.0052286	 30.327	23.675	23.613	24.457	25.294	 0.0295	 0.0017	 0.91	 0.022
1226	187.4484735	+08.0080320	 30.477	24.360	24.301	25.409	25.374	 0.0152	 0.0241	 0.95	 0.022
1226	187.4488821	+08.0078691	 30.610	23.360	23.409	24.942	24.924	 0.0427	 0.0256	 0.99	 0.022
1226	187.4399980	+07.9933266	 30.633	22.616	22.567	24.056	24.009	 0.0224	 0.0295	 1.00	 0.022
1226	187.4385849	+08.0063238	 30.639	23.591	23.514	24.940	24.895	 0.0155	 0.0249	 0.97	 0.022
1226	187.4475218	+08.0087416	 31.576	23.477	23.570	24.493	24.482	 0.0554	 0.0306	 0.97	 0.022
1226	187.4439066	+08.0091793	 31.733	20.283	20.268	21.950	21.933	 0.0344	 0.0309	 1.00	 0.022
1226	187.4432207	+08.0091483	 31.949	22.186	22.316	23.726	23.842	 0.0417	 0.0229	 1.00	 0.022
1226	187.4428705	+07.9916813	 32.131	22.513	22.462	23.175	23.134	 0.0209	 0.0257	 1.00	 0.022
1226	187.4382954	+07.9940773	 32.406	22.509	22.476	23.273	23.245	 0.0368	 0.0357	 1.00	 0.022
1226	187.4390231	+07.9933990	 32.487	20.430	20.388	21.881	21.844	 0.0284	 0.0301	 1.00	 0.022
1226	187.4374964	+07.9949514	 32.509	20.905	20.963	21.806	21.865	 0.0566	 0.0546	 1.00	 0.022
1226	187.4482750	+07.9920610	 32.558	21.132	21.075	22.266	22.225	 0.0277	 0.0318	 1.00	 0.022
1226	187.4434800	+08.0093671	 32.575	20.737	20.694	22.287	22.257	 0.0236	 0.0177	 1.00	 0.022
1226	187.4356828	+07.9990976	 32.710	22.827	22.791	23.439	23.434	 0.0354	 0.0392	 1.00	 0.022
1226	187.4357630	+08.0022915	 32.771	21.590	21.615	22.549	22.553	 0.0431	 0.0330	 1.00	 0.022
1226	187.4509138	+08.0071825	 32.809	22.625	22.591	23.755	23.757	 0.0469	 0.0363	 1.00	 0.022
1226	187.4404271	+08.0084489	 32.819	24.017	23.950	25.356	25.319	 0.0185	 0.0326	 0.99	 0.022
1226	187.4401043	+07.9924810	 33.009	23.968	23.915	25.631	25.583	 0.0314	 0.0166	 0.99	 0.022
1226	187.4387371	+07.9933904	 33.150	22.167	22.113	23.464	23.434	 0.0261	 0.0296	 1.00	 0.022
1226	187.4355913	+07.9983042	 33.561	21.449	21.394	22.902	22.858	 0.0270	 0.0302	 1.00	 0.022
1226	187.4444140	+08.0097706	 33.727	22.274	22.223	23.793	23.745	 0.0170	 0.0198	 0.97	 0.022
1226	187.4375595	+08.0065567	 33.893	24.054	24.099	25.501	25.468	 0.0477	 0.0518	 0.86	 0.022
1226	187.4416087	+07.9914786	 34.048	23.850	23.802	25.543	25.500	 0.0382	 0.0368	 0.97	 0.022
1226	187.4542398	+07.9991113	 34.130	20.262	20.266	21.176	21.157	 0.0378	 0.0330	 1.00	 0.022
1226	187.4462118	+08.0099392	 34.695	21.703	21.727	22.776	22.742	 0.0416	 0.0283	 1.00	 0.022
1226	187.4396034	+08.0086010	 34.764	23.991	23.927	24.609	24.566	 0.0281	 0.0274	 0.99	 0.022
1226	187.4354881	+08.0036313	 35.040	23.037	23.331	24.650	24.628	 0.1090	 0.0248	 0.90	 0.022
1226	187.4520262	+07.9938289	 35.101	23.201	23.159	24.506	24.473	 0.0258	 0.0199	 0.99	 0.022
1226	187.4546833	+08.0009023	 35.427	21.942	22.045	22.906	23.022	 0.0337	 0.0278	 1.00	 0.022
1226	187.4543954	+07.9980024	 35.443	20.714	20.716	22.192	22.163	 0.0370	 0.0269	 1.00	 0.022
1226	187.4354577	+07.9967560	 35.648	23.160	23.362	25.024	25.020	 0.0755	 0.0340	 0.96	 0.022
1226	187.4407658	+08.0095424	 35.809	23.330	23.268	23.860	23.848	 0.0350	 0.0372	 0.99	 0.022
1226	187.4541479	+07.9968013	 35.903	21.582	21.552	22.580	22.559	 0.0512	 0.0512	 1.00	 0.022
1226	187.4351035	+08.0032762	 35.942	23.921	23.856	24.974	24.935	 0.0213	 0.0296	 0.99	 0.022
1226	187.4387006	+07.9923854	 36.046	22.637	22.703	23.480	23.872	 0.0492	 0.1052	 0.84	 0.022
1226	187.4548505	+08.0016601	 36.261	23.489	23.446	24.175	24.263	 0.0348	 0.0515	 0.97	 0.022
1226	187.4479385	+08.0100174	 36.406	21.811	21.848	22.787	22.779	 0.0453	 0.0365	 1.00	 0.022
1226	187.4549397	+08.0012685	 36.450	23.623	23.687	24.993	25.005	 0.0850	 0.0692	 0.53	 0.022
1226	187.4345057	+08.0007719	 36.582	24.031	24.014	24.863	24.869	 0.0113	 0.0368	 0.99	 0.022
1226	187.4483358	+08.0100802	 37.086	22.046	22.087	23.137	23.130	 0.0476	 0.0337	 1.00	 0.022
1226	187.4399619	+08.0095614	 37.131	23.484	23.674	24.949	24.920	 0.0700	 0.0436	 0.89	 0.022
1226	187.4505409	+07.9918071	 37.189	22.033	21.996	23.425	23.389	 0.0268	 0.0314	 1.00	 0.022
1226	187.4527479	+07.9937527	 37.223	23.115	23.072	23.959	23.918	 0.0235	 0.0314	 1.00	 0.022
1226	187.4514346	+08.0083717	 37.274	22.548	22.499	23.935	23.890	 0.0236	 0.0200	 1.00	 0.022
1226	187.4346139	+08.0032291	 37.577	21.912	21.921	23.521	23.487	 0.0401	 0.0323	 1.00	 0.022
1226	187.4341417	+08.0001328	 37.875	23.757	23.800	25.018	24.984	 0.0488	 0.0470	 0.93	 0.022
1226	187.4553179	+08.0019637	 38.046	22.233	22.182	23.193	23.146	 0.0281	 0.0274	 1.00	 0.022
1226	187.4340693	+08.0006201	 38.126	22.442	22.406	23.830	23.785	 0.0134	 0.0293	 1.00	 0.022
1226	187.4506784	+07.9915585	 38.213	23.389	23.323	24.635	24.594	 0.0268	 0.0365	 0.99	 0.022
1226	187.4433576	+07.9898047	 38.488	23.037	23.171	24.696	24.680	 0.0576	 0.0411	 0.98	 0.022
1226	187.4353199	+08.0056601	 38.596	21.464	21.408	23.074	23.029	 0.0180	 0.0214	 1.00	 0.022
1226	187.4351472	+08.0054302	 38.747	22.844	22.889	23.800	23.910	 0.0235	 0.0224	 1.00	 0.022
1226	187.4549421	+07.9966263	 38.782	22.920	22.862	24.251	24.204	 0.0185	 0.0222	 1.00	 0.022
1226	187.4488635	+07.9904252	 38.794	21.738	21.684	23.227	23.187	 0.0227	 0.0283	 1.00	 0.022
1226	187.4398703	+08.0100441	 38.823	24.275	24.228	25.476	25.447	 0.0348	 0.0211	 0.99	 0.022
1226	187.4390143	+07.9912224	 38.887	21.441	21.430	22.715	22.708	 0.0362	 0.0343	 1.00	 0.022
1226	187.4539151	+07.9944739	 39.006	22.435	22.404	23.939	23.896	 0.0294	 0.0281	 1.00	 0.022
1226	187.4555966	+07.9988677	 39.033	22.785	22.760	23.649	23.616	 0.0330	 0.0222	 1.00	 0.022
1226	187.4390885	+08.0097326	 39.186	22.502	22.500	24.005	23.992	 0.0385	 0.0325	 1.00	 0.022
1226	187.4484850	+07.9900033	 39.739	23.676	23.628	24.787	24.793	 0.0335	 0.0446	 0.98	 0.022
1226	187.4489454	+07.9901281	 39.893	21.968	22.026	23.190	23.371	 0.0302	 0.0330	 1.00	 0.022
1226	187.4559327	+07.9995635	 39.956	23.784	23.726	24.847	24.803	 0.0355	 0.0306	 0.98	 0.022
1226	187.4422336	+07.9895695	 40.031	23.221	23.144	23.757	23.710	 0.0125	 0.0174	 0.91	 0.022
1226	187.4426759	+07.9894728	 40.053	20.760	20.777	21.643	21.643	 0.0445	 0.0403	 1.00	 0.022
1226	187.4364430	+08.0079008	 40.066	22.879	22.869	24.210	24.217	 0.0320	 0.0317	 1.00	 0.022
1226	187.4558736	+07.9984954	 40.229	23.201	23.130	24.116	24.070	 0.0189	 0.0230	 0.99	 0.022
1226	187.4455082	+07.9891722	 40.539	24.231	24.195	25.965	25.929	 0.0524	 0.0318	 0.93	 0.022
1226	187.4419733	+07.9894796	 40.572	21.105	21.071	22.342	22.318	 0.0315	 0.0314	 1.00	 0.022
1226	187.4431909	+08.0116870	 40.986	23.542	23.529	25.100	25.056	 0.0279	 0.0239	 0.99	 0.022
1226	187.4347050	+07.9948801	 41.008	21.884	21.869	23.529	23.489	 0.0335	 0.0334	 1.00	 0.022
1226	187.4335032	+08.0032848	 41.432	23.156	23.099	24.451	24.407	 0.0281	 0.0262	 1.00	 0.022
1226	187.4514403	+08.0098857	 41.587	22.282	22.295	23.595	23.583	 0.0339	 0.0293	 1.00	 0.022
1226	187.4457958	+07.9888952	 41.595	23.400	23.367	24.190	24.195	 0.0299	 0.0340	 0.99	 0.022
1226	187.4556569	+07.9960959	 41.834	20.832	20.840	21.727	21.722	 0.0469	 0.0405	 1.00	 0.022
1226	187.4356367	+07.9930954	 41.845	20.551	20.516	21.614	21.586	 0.0328	 0.0350	 1.00	 0.022
1226	187.4348710	+08.0067209	 41.953	21.120	21.094	22.595	22.576	 0.0288	 0.0244	 1.00	 0.022
1226	187.4332397	+07.9975676	 42.325	22.257	22.204	23.611	23.600	 0.0266	 0.0303	 1.00	 0.022
1226	187.4522382	+08.0095560	 42.373	23.438	23.493	24.821	24.790	 0.0478	 0.0236	 0.99	 0.022
1226	187.4376794	+07.9907183	 43.061	21.761	21.736	23.356	23.330	 0.0392	 0.0441	 1.00	 0.022
1226	187.4544851	+08.0075277	 43.128	22.082	22.024	23.421	23.375	 0.0275	 0.0245	 1.00	 0.022
1226	187.4330530	+07.9969399	 43.577	22.198	22.158	23.420	23.385	 0.0254	 0.0306	 1.00	 0.022
1226	187.4325658	+07.9995893	 43.591	23.871	23.936	25.217	25.188	 0.0585	 0.0513	 0.82	 0.022
1226	187.4353598	+08.0081764	 43.660	20.129	20.164	21.014	21.048	 0.0604	 0.0595	 0.98	 0.022
1226	187.4495600	+07.9892395	 43.693	23.981	23.945	25.119	25.101	 0.0262	 0.0367	 0.98	 0.022
1226	187.4463170	+08.0124871	 43.837	24.351	24.275	25.036	25.014	 0.0092	 0.0288	 0.94	 0.022
1226	187.4324656	+08.0013450	 43.947	22.106	22.127	23.558	23.568	 0.0405	 0.0449	 1.00	 0.022
1226	187.4325064	+07.9990369	 43.979	20.417	20.368	21.614	21.569	 0.0271	 0.0307	 1.00	 0.022
1226	187.4569095	+07.9982931	 43.985	21.362	21.322	22.369	22.337	 0.0442	 0.0415	 1.00	 0.022
1226	187.4384667	+07.9898387	 44.154	23.390	23.365	24.385	24.338	 0.0314	 0.0317	 0.99	 0.022
1226	187.4416022	+08.0123243	 44.360	22.773	22.766	23.582	23.553	 0.0251	 0.0250	 1.00	 0.022
1226	187.4406423	+07.9887540	 44.454	22.653	22.638	24.012	23.972	 0.0336	 0.0340	 1.00	 0.022
1226	187.4322638	+08.0002234	 44.563	22.398	22.375	23.864	23.821	 0.0291	 0.0352	 1.00	 0.022
1226	187.4566443	+07.9965487	 44.588	23.483	23.427	24.919	24.882	 0.0257	 0.0288	 0.99	 0.022
1226	187.4323896	+07.9976830	 45.171	21.931	21.917	23.022	22.981	 0.0329	 0.0363	 1.00	 0.022
1226	187.4513716	+07.9896532	 45.324	23.316	23.250	24.564	24.525	 0.0303	 0.0301	 0.99	 0.022
1226	187.4319770	+08.0003980	 45.558	23.260	23.210	24.748	24.711	 0.0248	 0.0410	 0.99	 0.022
1226	187.4556887	+07.9938304	 45.601	23.146	23.135	24.697	24.676	 0.0426	 0.0214	 0.99	 0.022
1226	187.4493998	+07.9885675	 45.722	20.501	20.455	21.851	21.823	 0.0323	 0.0312	 1.00	 0.022
1226	187.4454028	+08.0132007	 46.102	23.921	23.882	25.237	25.188	 0.0252	 0.0160	 0.97	 0.022
1226	187.4371193	+08.0107600	 46.159	23.679	23.663	24.504	24.458	 0.0353	 0.0273	 0.99	 0.022
1226	187.4372707	+07.9899098	 46.277	22.941	22.897	24.524	24.486	 0.0229	 0.0348	 1.00	 0.022
1226	187.4413936	+07.9879625	 46.374	20.654	20.606	22.021	21.976	 0.0262	 0.0300	 1.00	 0.022
1226	187.4330262	+08.0059839	 46.394	24.086	24.046	25.729	25.689	 0.0209	 0.0349	 0.99	 0.022
1226	187.4572740	+08.0040664	 46.518	21.540	21.499	22.587	22.606	 0.0267	 0.0269	 1.00	 0.022
1226	187.4577359	+07.9990047	 46.557	21.624	21.633	23.096	23.080	 0.0371	 0.0325	 1.00	 0.022
1226	187.4550624	+07.9924015	 46.681	23.120	23.117	24.168	24.132	 0.0396	 0.0320	 0.99	 0.022
